Date,Close/Last,Volume,Open,High,Low
01/07/2025,$0.0698,700,$0.0698,$0.0698,$0.0698
01/06/2025,$0.062,129001,$0.0632,$0.0698,$0.045
01/03/2025,$0.0632,3105,$0.0699,$0.0699,$0.0632
01/02/2025,$0.0563,16056,$0.0676,$0.0676,$0.0563
12/31/2024,$0.0652,49749,$0.0699,$0.0709,$0.0652
12/30/2024,$0.0562,383096,$0.0587,$0.064,$0.05
12/27/2024,$0.0537,134079,$0.057,$0.06,$0.0528
12/26/2024,$0.0644,128384,$0.0635,$0.0789,$0.0438
12/24/2024,$0.0527,199713,$0.0529,$0.0684,$0.0427
12/23/2024,$0.0524,183042,$0.0619,$0.0656,$0.0421
12/20/2024,$0.0558,242100,$0.0868,$0.0868,$0.05
12/19/2024,$0.0541,194257,$0.0608,$0.0635,$0.05
12/18/2024,$0.0511,238800,$0.049,$0.0633,$0.049
12/17/2024,$0.0508,249679,$0.0612,$0.0634,$0.0508
12/16/2024,$0.0523,185800,$0.0611,$0.0688,$0.05
12/13/2024,$0.0641,219296,$0.0727,$0.0727,$0.0488
12/12/2024,$0.0507,221823,$0.0625,$0.0626,$0.048
12/11/2024,$0.0565,183100,$0.0646,$0.0647,$0.0496
12/10/2024,$0.068,81500,$0.0574,$0.068,$0.0514
12/09/2024,$0.0554,312779,$0.0575,$0.0768,$0.0526
12/06/2024,$0.06,37824,$0.0599,$0.06,$0.0525
12/05/2024,$0.0534,99771,$0.05,$0.055,$0.0475
12/04/2024,$0.0483,115073,$0.0592,$0.0625,$0.0452
12/03/2024,$0.0509,321818,$0.0483,$0.0609,$0.0384
12/02/2024,$0.051,130080,$0.044,$0.0607,$0.044
11/29/2024,$0.0536,220400,$0.0505,$0.0587,$0.0418
11/27/2024,$0.0495,108010,$0.046,$0.0597,$0.046
11/26/2024,$0.0534,73399,$0.054,$0.0597,$0.046
11/25/2024,$0.0543,165795,$0.0644,$0.0644,$0.047
11/22/2024,$0.05,162100,$0.0508,$0.0616,$0.046
11/21/2024,$0.0517,120493,$0.0617,$0.0633,$0.046
11/20/2024,$0.0549,211100,$0.0549,$0.0634,$0.0485
11/19/2024,$0.057,132940,$0.06,$0.0803,$0.0557
11/18/2024,$0.056,200,$0.056,$0.056,$0.056
11/15/2024,$0.068,42328,$0.059,$0.068,$0.059
11/14/2024,$0.0722,140,$0.0722,$0.0722,$0.0722
11/13/2024,$0.0929,10590,$0.0811,$0.0929,$0.0704
11/12/2024,$0.0676,1741,$0.0712,$0.0712,$0.0676
11/11/2024,$0.0565,1478,$0.0565,$0.0565,$0.0565
11/08/2024,$0.0556,500,$0.0556,$0.0556,$0.0556
11/07/2024,$0.0541,1200,$0.0567,$0.0567,$0.0541
11/06/2024,$0.0532,5000,$0.0532,$0.0532,$0.0532
11/05/2024,$0.0527,37100,$0.0603,$0.0603,$0.0527
11/04/2024,$0.0586,2550,$0.0546,$0.0586,$0.0546
10/30/2024,$0.0506,2000,$0.0506,$0.0506,$0.0506
10/29/2024,$0.055,11000,$0.0575,$0.0575,$0.055
10/25/2024,$0.053,12349,$0.0616,$0.0616,$0.053
10/23/2024,$0.0593,17100,$0.0665,$0.0665,$0.0593
10/22/2024,$0.0614,150,$0.0614,$0.0614,$0.0614
10/21/2024,$0.07,5000,$0.07,$0.07,$0.07
10/17/2024,$0.0606,3815,$0.0606,$0.0606,$0.0606
10/16/2024,$0.0563,17178,$0.0563,$0.0563,$0.0563
10/15/2024,$0.0625,15300,$0.065,$0.065,$0.0625
10/11/2024,$0.0625,13192,$0.0625,$0.0625,$0.0625
10/10/2024,$0.0559,1589,$0.0559,$0.0559,$0.0559
10/08/2024,$0.0625,1650,$0.0625,$0.0625,$0.0625
10/07/2024,$0.0625,10000,$0.0625,$0.0625,$0.0625
10/04/2024,$0.063,20000,$0.063,$0.063,$0.063
10/03/2024,$0.0625,1275,$0.0625,$0.0625,$0.0625
10/02/2024,$0.06,1000,$0.06,$0.06,$0.06
10/01/2024,$0.0469,400,$0.0469,$0.0469,$0.0469
09/30/2024,$0.048,13025,$0.058,$0.058,$0.048
09/27/2024,$0.0494,500,$0.0494,$0.0494,$0.0494
09/26/2024,$0.0606,142485,$0.05,$0.0606,$0.0431
09/25/2024,$0.06,1000,$0.06,$0.06,$0.06
09/24/2024,$0.07,18491,$0.0596,$0.07,$0.0596
09/20/2024,$0.0574,596,$0.0574,$0.0574,$0.0574
09/17/2024,$0.05,1192,$0.0545,$0.0545,$0.05
09/16/2024,$0.0431,3825,$0.0431,$0.0431,$0.0431
09/12/2024,$0.057,2200,$0.056,$0.057,$0.0505
09/10/2024,$0.0537,1600,$0.0525,$0.0537,$0.0505
09/09/2024,$0.06,28000,$0.06,$0.06,$0.06
09/05/2024,$0.07,3000,$0.07,$0.07,$0.07
09/04/2024,$0.065,1500,$0.065,$0.065,$0.065
09/03/2024,$0.0503,1000,$0.0503,$0.0503,$0.0503
08/30/2024,$0.055,3300,$0.055,$0.055,$0.055
